City,Name,Address,Price,Property Link,Amenities,Property Rating,Review Count,min_price,max_price,postal_code,city_name,security,gated,surveillance,camera,alarm,guard,controlled access,key fob entry,night patrol,24-hour surveillance,access control,security system,electronic locks,monitoring,fenced,safe,locked,protected,secure entry,patrol,total_security_amenities
Agoura Hills,Avalon Calabasas,"3831 N Orchid Ln, Calabasas, CA 91302","$2,445 - $3,443",https://www.apartments.com/avalon-calabasas-calabasas-ca/3rwr5kg/,"Pool, Fitness Center, Furnished Units Available, Picnic Area, Air Conditioning, High Speed Internet Access, Walk-In Closets, Microwave, Furnished Units Available, Walk-Up, Fitness Center, Spa, Pool, Picnic Area, High Speed Internet Access, Air Conditioning, Smoke Free, Fireplace, Wheelchair Accessible (Rooms), Kitchen, Microwave, High Ceilings, Walk-In Closets, Furnished, Window Coverings, Balcony, Patio",5.0,8,2445.0,3443.0,91302,Calabasas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,Avalon Oak Creek,"29128 Oak Creek Ln, Agoura Hills, CA 91301","$2,429 - $3,800",https://www.apartments.com/avalon-oak-creek-agoura-hills-ca/ywkmv0s/,"Fitness Center, Furnished Units Available, Business Center, Storage Space, Air Conditioning, High Speed Internet Access, Walk-In Closets, Smoke Free, Furnished Units Available, Business Center, Storage Space, Walk-Up, Fitness Center, High Speed Internet Access, Air Conditioning, Smoke Free, Satellite TV, Walk-In Closets, Furnished",4.9,4,2429.0,3800.0,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,4240 Lost Hills Rd Unit Calabasas Condo,"4240 Lost Hills Rd Unit Calabasas Condo, Agoura Hills, CA 91301","$2,800",https://www.apartments.com/4240-lost-hills-rd-agoura-hills-ca-unit-calabasas-condo/tbvpyec/,"Washer/Dryer, Air Conditioning, Dishwasher, Loft Layout, Walk-In Closets, Microwave, Refrigerator, Tub/Shower, Washer/Dryer, Air Conditioning, Heating, Ceiling Fans, Smoke Free, Tub/Shower, Fireplace, Intercom, Dishwasher, Disposal, Stainless Steel Appliances, Eat-in Kitchen, Kitchen, Microwave, Range, Refrigerator, Breakfast Nook, Tile Floors, Dining Room, High Ceilings, Office, Vaulted Ceiling, Walk-In Closets, Loft Layout, Large Bedrooms",0.0,0,2800.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,"29128 Oak Creek Ln Unit FL2-ID4953A, Agoura Hills, CA 91301","29128 Oak Creek Ln Unit FL2-ID4953A, Agoura Hills, CA 91301","$3,690",https://www.apartments.com/29128-oak-creek-ln-agoura-hills-ca-unit-fl2-id4953a/jb3cz96/,"Washer/Dryer, Air Conditioning, Dishwasher, Microwave, Wi-Fi, Washer/Dryer, Air Conditioning, Dishwasher, Kitchen, Microwave, Oven, Refrigerator, Freezer, Furnished, Corporate Suites",0.0,0,3690.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,"29133 Oak Creek Ln Unit FL1-ID3484A, Agoura Hills, CA 91301","29133 Oak Creek Ln Unit FL1-ID3484A, Agoura Hills, CA 91301","$3,720",https://www.apartments.com/29133-oak-creek-ln-agoura-hills-ca-unit-fl1-id3484a/j6wlf25/,"Washer/Dryer, Air Conditioning, Dishwasher, Microwave, Wi-Fi, Washer/Dryer, Air Conditioning, Dishwasher, Kitchen, Microwave, Oven, Refrigerator, Freezer, Furnished, Corporate Suites, Balcony",0.0,0,3720.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,"29128 Oak Creek Ln Unit FL1-ID3799A, Agoura Hills, CA 91301","29128 Oak Creek Ln Unit FL1-ID3799A, Agoura Hills, CA 91301","$2,980",https://www.apartments.com/29128-oak-creek-ln-agoura-hills-ca-unit-fl1-id3799a/6xqs6fr/,"Washer/Dryer, Air Conditioning, Dishwasher, Microwave, Wi-Fi, Washer/Dryer, Air Conditioning, Dishwasher, Kitchen, Microwave, Oven, Refrigerator, Freezer, Furnished, Corporate Suites, Balcony",0.0,0,2980.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,"29128 Oak Creek Ln Unit FL1-ID5014A, Agoura Hills, CA 91301","29128 Oak Creek Ln Unit FL1-ID5014A, Agoura Hills, CA 91301","$4,130",https://www.apartments.com/29128-oak-creek-ln-agoura-hills-ca-unit-fl1-id5014a/m5kpvsk/,"Washer/Dryer, Air Conditioning, Dishwasher, Microwave, Wi-Fi, Washer/Dryer, Air Conditioning, Dishwasher, Kitchen, Microwave, Oven, Refrigerator, Freezer, Furnished, Corporate Suites",0.0,0,4130.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,"29128 Oak Creek Ln Unit FL1-ID5127A, Agoura Hills, CA 91301","29128 Oak Creek Ln Unit FL1-ID5127A, Agoura Hills, CA 91301","$4,220",https://www.apartments.com/29128-oak-creek-ln-agoura-hills-ca-unit-fl1-id5127a/g06q6dz/,"Washer/Dryer, Air Conditioning, Dishwasher, Microwave, Wi-Fi, Washer/Dryer, Air Conditioning, Dishwasher, Kitchen, Microwave, Oven, Refrigerator, Freezer, Furnished, Corporate Suites",0.0,0,4220.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,"29128 Oak Creek Ln Unit FL2-ID5134A, Agoura Hills, CA 91301","29128 Oak Creek Ln Unit FL2-ID5134A, Agoura Hills, CA 91301","$4,100",https://www.apartments.com/29128-oak-creek-ln-agoura-hills-ca-unit-fl2-id5134a/pfym8hv/,"Washer/Dryer, Air Conditioning, Dishwasher, Microwave, Wi-Fi, Washer/Dryer, Air Conditioning, Dishwasher, Kitchen, Microwave, Oven, Refrigerator, Freezer, Furnished, Corporate Suites",0.0,0,4100.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agoura Hills,"29128 Oak Creek Ln Unit FL2-ID5492A, Agoura Hills, CA 91301","29128 Oak Creek Ln Unit FL2-ID5492A, Agoura Hills, CA 91301","$4,290",https://www.apartments.com/29128-oak-creek-ln-agoura-hills-ca-unit-fl2-id5492a/z3jc9tz/,"Washer/Dryer, Air Conditioning, Dishwasher, Microwave, Wi-Fi, Washer/Dryer, Air Conditioning, Dishwasher, Kitchen, Microwave, Oven, Refrigerator, Freezer, Furnished, Corporate Suites",0.0,0,4290.0,,91301,Agoura Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
