zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
90001,STANDARD,0,Los Angeles,"Firestone Park, Firestone Pk",,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,33.97,-118.24,50130
90002,STANDARD,0,Los Angeles,Watts,,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,33.94,-118.24,45910
90003,STANDARD,0,Los Angeles,,Broadway Manchester,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,33.96,-118.27,62560
90004,STANDARD,0,Los Angeles,Oakwood,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.07,-118.31,46770
90005,STANDARD,0,Los Angeles,Sanford,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.06,-118.31,28000
90006,STANDARD,0,Los Angeles,,Pico Heights,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.05,-118.29,43570
90007,STANDARD,0,Los Angeles,Dockweiler,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.02,-118.28,20840
90008,STANDARD,0,Los Angeles,"Baldwin Hills, Leimert Park, View Park",Crenshaw,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,34.01,-118.35,25300
90009,PO BOX,0,Los Angeles,"Los Angeles AFB, Los Angls AFB",Los Angeles International,CA,Los Angeles County,America/Los_Angeles,213,,US,33.94,-118.38,1926
90010,STANDARD,0,Los Angeles,,Sanford,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.06,-118.3,4270
90011,STANDARD,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.0,-118.25,88690
90012,STANDARD,0,Los Angeles,,Federal,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.06,-118.24,18240
90013,STANDARD,0,Los Angeles,,Federal,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.04,-118.24,6420
90014,STANDARD,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.04,-118.25,4760
90015,STANDARD,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.03,-118.26,17390
90016,STANDARD,0,Los Angeles,,West Adams,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,34.02,-118.35,39750
90017,STANDARD,0,Los Angeles,,Foy,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.05,-118.26,17960
90018,STANDARD,0,Los Angeles,,"Cimarron, Dockweiler",CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.02,-118.31,40520
90019,STANDARD,0,Los Angeles,,Rimpau,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.04,-118.34,49140
90020,STANDARD,0,Los Angeles,,Sanford,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.07,-118.31,30280
90021,STANDARD,0,Los Angeles,,Market,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.03,-118.24,2190
90022,STANDARD,0,Los Angeles,"Commerce, E Los Angeles, East Los Angeles",,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.02,-118.15,57700
90023,STANDARD,0,Los Angeles,Commerce,Lugo,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.02,-118.2,39530
90024,STANDARD,0,Los Angeles,,Village,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,34.06,-118.43,21990
90025,STANDARD,0,Los Angeles,"W Los Angeles, West Los Angeles",Wla,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,34.04,-118.44,37790
90026,STANDARD,0,Los Angeles,,"Echo Park, Edendale, Silver Lake",CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.07,-118.26,48880
90027,STANDARD,0,Los Angeles,,"Hollywood, Los Feliz",CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.12,-118.28,34350
90028,STANDARD,0,Los Angeles,Hollywood,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.1,-118.32,21950
90029,STANDARD,0,Los Angeles,,Vermont,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.09,-118.29,27170
90030,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.06,-118.23,276
90031,STANDARD,0,Los Angeles,"Lincoln Heights, Lincoln Hts",,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.09,-118.21,30220
90032,STANDARD,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.08,-118.17,36560
90033,STANDARD,0,Los Angeles,,Boyle Heights,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.04,-118.21,36570
90034,STANDARD,0,Los Angeles,,Palms,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,34.03,-118.4,45780
90035,STANDARD,0,Los Angeles,,Preuss,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,34.05,-118.38,23520
90036,STANDARD,0,Los Angeles,,"Farmer Market, Miracle Mile, Wilshire La Brea",CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.06,-118.35,30570
90037,STANDARD,0,Los Angeles,,Green,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.0,-118.28,51560
90038,STANDARD,0,Los Angeles,"W Hollywood, West Hollywood","Hollywood, Wilcox",CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.09,-118.33,21030
90039,STANDARD,0,Los Angeles,,Griffith,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.11,-118.26,23990
90040,STANDARD,0,Los Angeles,"Commerce, Cty Of Cmmrce",,CA,Los Angeles County,America/Los_Angeles,"213, 323, 562",,US,33.99,-118.14,11420
90041,STANDARD,0,Los Angeles,Eagle Rock,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626, 747, 818",,US,34.13,-118.2,22350
90042,STANDARD,0,Los Angeles,Highland Park,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.11,-118.19,47330
90043,STANDARD,0,Los Angeles,"View Park, Windsor Hills",La Tijera,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,33.98,-118.33,38050
90044,STANDARD,0,Los Angeles,,"August F Haw, Hancock",CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,33.95,-118.29,77500
90045,STANDARD,0,Los Angeles,Westchester,"Bradley International, Playa Vista",CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,33.95,-118.4,31950
90046,STANDARD,0,Los Angeles,"W Hollywood, West Hollywood",,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,34.11,-118.36,35190
90047,STANDARD,0,Los Angeles,,Wagner,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,33.95,-118.31,43550
90048,STANDARD,0,Los Angeles,"W Hollywood, West Hollywood","Bicentennial, Briggs",CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,34.07,-118.37,17160
90049,STANDARD,0,Los Angeles,,Barrington,CA,Los Angeles County,America/Los_Angeles,"310, 424, 747, 818",,US,34.08,-118.49,28770
90050,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.12,-118.2,360
90051,PO BOX,0,Los Angeles,,August F Haw,CA,Los Angeles County,America/Los_Angeles,213,,US,34.06,-118.24,805
90052,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,33.98,-118.26,0
90053,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.05,-118.23,502
90054,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.06,-118.23,276
90055,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.04,-118.25,328
90056,STANDARD,0,Los Angeles,"Baldwin Hills, Windsor Hills",Crenshaw,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,33.99,-118.37,7520
90057,STANDARD,0,Los Angeles,,Flint,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.06,-118.27,29970
90058,STANDARD,0,Los Angeles,Vernon,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.0,-118.21,3020
90059,STANDARD,0,Los Angeles,,"August F Haw, Greenmead",CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,33.93,-118.25,37960
90060,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,33.99,-118.42,400
90061,STANDARD,0,Los Angeles,,"August F Haw, South",CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,33.92,-118.27,24790
90062,STANDARD,0,Los Angeles,,Westvern,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.0,-118.31,28000
90063,STANDARD,0,Los Angeles,Hazard,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.04,-118.18,44440
90064,STANDARD,0,Los Angeles,Rancho Park,,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,34.03,-118.43,25040
90065,STANDARD,0,Los Angeles,"Glassell, Glassell Park",,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.1,-118.22,38230
90066,STANDARD,0,Los Angeles,,"Culver Cty, Mar Vista",CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,34.0,-118.43,45960
90067,STANDARD,0,Los Angeles,Century City,,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,34.06,-118.41,5890
90068,STANDARD,0,Los Angeles,Hollywood,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 747, 818",,US,34.13,-118.33,16870
90069,STANDARD,0,West Hollywood,"Los Angeles, W Hollywood",,CA,Los Angeles County,America/Los_Angeles,"213, 310, 323, 424",,US,34.09,-118.38,16550
90070,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.06,-118.31,152
90071,STANDARD,0,Los Angeles,,"Arco, Arco Plaza",CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.05,-118.26,2564
90072,PO BOX,0,Los Angeles,,Santa Western,CA,Los Angeles County,America/Los_Angeles,213,,US,34.09,-118.3,185
90073,PO BOX,0,Los Angeles,"Veterans Adm, Veterans Admin, Veterans Administration, Veterans Admn",,CA,Los Angeles County,America/Los_Angeles,"310, 424",,US,34.05,-118.45,127
90074,UNIQUE,0,Los Angeles,,Bank Of America,CA,Los Angeles County,America/Los_Angeles,213,,US,34.05,-118.26,0
90075,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.06,-118.31,500
90076,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.06,-118.31,531
90077,STANDARD,0,Los Angeles,,Barrington,CA,Los Angeles County,America/Los_Angeles,"310, 424, 747, 818",,US,34.1,-118.45,7170
90078,PO BOX,0,Los Angeles,Hollywood,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.1,-118.32,1153
90079,STANDARD,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,"213, 323",,US,34.04,-118.26,119
90080,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,33.95,-118.39,0
90081,PO BOX,0,Los Angeles,,,CA,Los Angeles County,America/Los_Angeles,213,,US,34.05,-118.26,337
